
2024/08/13 (19:50:35) | ===> btop++ v.1.3.2
2024/08/13 (19:50:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (00:25:39) | ===> btop++ v.1.3.2
2024/08/14 (00:25:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (01:44:44) | ===> btop++ v.1.3.2
2024/08/14 (01:44:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (02:01:30) | ===> btop++ v.1.3.2
2024/08/14 (02:01:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (02:10:38) | ===> btop++ v.1.3.2
2024/08/14 (02:10:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (02:16:21) | ===> btop++ v.1.3.2
2024/08/14 (02:16:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (01:11:16) | ===> btop++ v.1.3.2
2024/08/15 (01:11:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (01:15:12) | ===> btop++ v.1.3.2
2024/08/15 (01:15:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (02:09:06) | ===> btop++ v.1.3.2
2024/08/15 (02:09:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/17 (01:23:45) | ===> btop++ v.1.3.2
2024/08/17 (01:23:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (18:15:37) | ===> btop++ v.1.3.2
2024/08/18 (18:15:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (23:40:01) | ===> btop++ v.1.3.2
2024/08/18 (23:40:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (01:06:30) | ===> btop++ v.1.3.2
2024/08/19 (01:06:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/20 (23:54:26) | ===> btop++ v.1.3.2
2024/08/20 (23:54:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (09:52:47) | ===> btop++ v.1.3.2
2024/08/22 (09:52:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (16:01:17) | ===> btop++ v.1.3.2
2024/08/22 (16:01:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/26 (17:24:46) | ===> btop++ v.1.3.2
2024/08/26 (17:24:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/26 (17:25:05) | ===> btop++ v.1.3.2
2024/08/26 (17:25:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/26 (18:11:49) | ===> btop++ v.1.3.2
2024/08/26 (18:11:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/26 (18:16:43) | ===> btop++ v.1.3.2
2024/08/26 (18:16:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/26 (19:41:13) | ===> btop++ v.1.3.2
2024/08/26 (19:41:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/26 (20:24:00) | ===> btop++ v.1.3.2
2024/08/26 (20:24:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/26 (22:42:27) | ===> btop++ v.1.3.2
2024/08/26 (22:42:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/01 (02:56:07) | ===> btop++ v.1.3.2
2024/09/01 (02:56:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/02 (23:07:07) | ===> btop++ v.1.3.2
2024/09/02 (23:07:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/03 (21:41:08) | ===> btop++ v.1.3.2
2024/09/03 (21:41:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/03 (22:08:47) | ===> btop++ v.1.3.2
2024/09/03 (22:08:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/04 (00:55:17) | ===> btop++ v.1.3.2
2024/09/04 (00:55:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (04:12:33) | ===> btop++ v.1.3.2
2024/09/15 (04:12:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (10:13:24) | ===> btop++ v.1.3.2
2024/09/16 (10:13:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (17:17:54) | ===> btop++ v.1.3.2
2024/09/20 (17:17:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (18:01:32) | ===> btop++ v.1.3.2
2024/09/20 (18:01:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (23:49:17) | ===> btop++ v.1.3.2
2024/09/21 (23:49:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (00:07:36) | ===> btop++ v.1.3.2
